match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906756005,35,1,2,35,ddkiejug4w4ri9ch2fnnen6yw,59gm0x3ujnsq2gypigw0q7bze,J. Alcívar,15,74.3,61.7,0,0,0,1,0,0.024022947996854782,0.00036088054184801877,0.042812079191207886,0.2594696879386902,0.0,0.4506779909133911,0.022824306041002274,0.5116206407546997,0.014877072535455227,0.06533311913372017
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906757775,116,1,9,20,ddkiejug4w4ri9ch2fnnen6yw,ebhp98vhq24z7qe8ftj7zuk89,D. Reasco,15,88.9,48.9,0,0,1,0,0,0.04280821979045868,0.18421052396297455,0.03171641752123833,0.3601609766483307,0.10436432808637619,0.5356683135032654,0.010840783827006817,0.41206711530685425,0.04142376407980919,0.1446520932018757
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906758637,116,1,12,9,5yyskw5mk1al71eis8hpcqmxi,cjuzc9zrb8bxrtzibupaa00t0,A. Medina,15,76.8,30.9,0,0,0,1,0,0.0,0.00036088054184801877,0.042812079191207886,0.16802167892456055,0.0,0.6669176816940308,0.004810533951967955,0.3167632520198822,0.011508559808135033,0.04223892773152329
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906759063,126,1,13,26,5yyskw5mk1al71eis8hpcqmxi,bokhlnbj9lmpi4cbvghmczdud,R. Burbano,13,78.4,63.4,0,0,0,0,0,0.03790983557701111,0.0,0.046983759850263596,0.27339643239974976,0.559609055519104,0.33832550048828125,0.010361597873270512,0.615218997001648,0.036093879491090775,0.18357981666922568
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906760255,162,1,17,51,5yyskw5mk1al71eis8hpcqmxi,aegu1dn87t0l2klztm5g2euol,J. Alman,14,93.1,54.4,0,1,0,0,0,0.1538461595773697,0.0,0.03171641752123833,0.36234569549560547,0.746268630027771,0.5112318992614746,0.03108886629343033,0.3150598108768463,0.14261943101882935,0.2588353805243969
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906760259,163,1,17,55,5yyskw5mk1al71eis8hpcqmxi,aegu1dn87t0l2klztm5g2euol,J. Alman,13,97.6,53.6,0,0,0,0,0,0.6129032373428345,0.0,0.29621848464012146,0.8471337556838989,1.0,0.2087574601173401,0.06545484811067581,0.17264138162136078,0.5531463623046875,0.5512510955333709
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906761655,231,1,24,12,ddkiejug4w4ri9ch2fnnen6yw,ep0zxr95nch7d9gqbb47afg9g,D. Romero,15,72.8,52.3,0,0,0,1,0,0.035307515412569046,0.00036088054184801877,0.04532967135310173,0.2594696879386902,0.02985074557363987,0.4256250262260437,0.00945441983640194,0.5306219458580017,0.0342986136674881,0.07406370016396976
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906762759,278,1,29,44,ddkiejug4w4ri9ch2fnnen6yw,du7mx437vixeevfitwcgz6ot0,M. Perelló,13,80.5,33.8,0,0,0,0,0,0.024022947996854782,0.0,0.046983759850263596,0.16802167892456055,0.2641509473323822,0.32928720116615295,0.02566252276301384,0.6089732050895691,0.036077093333005905,0.10063586682081223
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906762765,279,1,29,46,ddkiejug4w4ri9ch2fnnen6yw,aieya8gew1dpm12yte9t5z3mc,P. Mercado,15,86.2,48.5,0,0,0,1,0,0.09298998862504959,0.0014577260008081794,0.034674063324928284,0.21111111342906952,0.10436432808637619,0.17942769825458527,0.009980694390833378,0.7361299991607666,0.07446154952049255,0.08891944389324635
2026-03-02_Manta FC - CSD Independiente del Valle.json,2906762887,249,1,30,15,5yyskw5mk1al71eis8hpcqmxi,bokhlnbj9lmpi4cbvghmczdud,R. Burbano,13,90.5,61.3,0,0,0,0,0,0.3711583912372589,0.00036088054184801877,0.33023256063461304,0.8979591727256775,0.746268630027771,0.10983052104711533,0.025278078392148018,0.44014859199523926,0.42474278807640076,0.4691959270334337
