match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908543645,12,1,1,15,6ov7iz5ful0e0g2epaydpzzn,2qpqh53hrupycf358gpie41ec,K. Velasco,16,78.7,60.9,1,0,1,0,0,0.03790983557701111,0.26900583505630493,0.034674063324928284,0.2731277644634247,0.4615384638309479,0.3740537464618683,0.016266927123069763,0.5749334692955017,0.034745872020721436,0.21525119245052338
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908548143,80,1,7,14,ddkiejug4w4ri9ch2fnnen6yw,8ti2mugerx496c81p6p5okez9,C. González,13,91.1,52.1,0,0,0,0,0,0.21265378594398499,0.0014577260008081794,0.05809399485588074,0.4680337905883789,0.9661017060279846,0.3120573163032532,0.016914142295718193,0.481246680021286,0.1897818148136139,0.34126820068340746
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908553111,157,1,14,5,ddkiejug4w4ri9ch2fnnen6yw,8ti2mugerx496c81p6p5okez9,C. González,15,72.8,43.2,0,0,0,1,0,0.024022947996854782,0.00036088054184801877,0.046983759850263596,0.27339643239974976,0.0,0.4252029061317444,0.021428775042295456,0.5324869751930237,0.02088133990764618,0.06895280415774323
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908556195,90,1,18,42,6ov7iz5ful0e0g2epaydpzzn,2qpqh53hrupycf358gpie41ec,K. Velasco,15,70.7,54.3,0,0,0,1,0,0.024022947996854782,0.00036088054184801877,0.034674063324928284,0.27339643239974976,0.0,0.419689416885376,0.009775935672223568,0.5567839741706848,0.0137507114559412,0.06649086485267616
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908557547,201,1,20,38,ddkiejug4w4ri9ch2fnnen6yw,f3lhirj8x9hkhm1ddoc8bwa38,E. Pata,15,77.4,78.3,0,0,0,1,0,0.024022947996854782,0.00036088054184801877,0.042812079191207886,0.3233945071697235,0.03097345121204853,0.41706401109695435,0.004298726562410593,0.5614376068115234,0.01719961315393448,0.08431277322233655
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908558469,203,1,22,1,ddkiejug4w4ri9ch2fnnen6yw,8myuopii2kh2ty1dbdx4s66z9,J. Sornoza,15,79.7,73.8,0,0,0,1,0,0.02590673603117466,0.00036088054184801877,0.042812079191207886,0.29398664832115173,0.02985074557363987,0.30389130115509033,0.00850263237953186,0.6395038366317749,0.04810222238302231,0.07858341793180443
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908564147,297,1,27,59,ddkiejug4w4ri9ch2fnnen6yw,6w1sob1fpd9ia9c8ytpksal90,J. Arroyo,13,95.5,42.7,0,0,0,0,0,0.13627992570400238,0.0,0.29621848464012146,0.36234569549560547,0.6594594717025757,0.5013625025749207,0.029921486973762512,0.3197018802165985,0.14901413023471832,0.290860715508461
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908564923,315,1,34,9,ddkiejug4w4ri9ch2fnnen6yw,59gm0x3ujnsq2gypigw0q7bze,J. Alcívar,13,74.4,45.4,0,0,0,0,0,0.035307515412569046,0.00036088054184801877,0.04532967135310173,0.2594696879386902,0.634782612323761,0.40047451853752136,0.010740826837718487,0.5582810640335083,0.030503645539283752,0.195050073513994
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908567173,355,1,38,16,ddkiejug4w4ri9ch2fnnen6yw,ep0zxr95nch7d9gqbb47afg9g,D. Romero,13,77.8,32.3,0,0,0,0,0,0.024022947996854782,0.00036088054184801877,0.042812079191207886,0.27726954221725464,0.5058823823928833,0.3721095025539398,0.020227640867233276,0.5801782011985779,0.027484629303216934,0.17006956646800972
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908569143,384,1,41,6,ddkiejug4w4ri9ch2fnnen6yw,f3lhirj8x9hkhm1ddoc8bwa38,E. Pata,16,80.9,74.0,1,0,1,0,0,0.024022947996854782,0.024390242993831635,0.042812079191207886,0.27726954221725464,0.033707864582538605,0.38776639103889465,0.005860251374542713,0.5756838321685791,0.030689552426338196,0.08044053539633751
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2908571831,431,1,45,53,ddkiejug4w4ri9ch2fnnen6yw,6w1sob1fpd9ia9c8ytpksal90,J. Arroyo,15,95.2,32.5,0,0,0,1,0,0.05756358802318573,0.0014577260008081794,0.04532967135310173,0.4680337905883789,0.10436432808637619,0.21353082358837128,0.012399423867464066,0.7028571963310242,0.07121255248785019,0.13534982081037014
